day,start_time,end_time,course,slot_code,type,room,sub_name,prof_name
TUE,09:00,09:50,ECE2002,A1,THEORY,CB-226,Computer Architecture,Dr. M. Saha
TUE,12:00,12:50,CSE2007,D1,THEORY,CB-527,DBMS,Dr. D. Sudheer
TUE,15:00,15:50,STS2009,A2,THEORY,CB-525,STS,Prof. Sujitha
TUE,16:00,17:40,CSE1005,L33+L34,LAB,CB-302,SWE,Dr. K. Syed
WED,09:00,09:50,CSE2007,D1,THEORY,CB-527,DBMS,Dr. D. Sudheer
WED,11:00,11:50,MAT1011,E1,THEORY,CB-G11,Statistics,Dr. Panda
WED,14:00,15:40,MAT1011,L37+L38,LAB,CB-102,Statistics,Dr. Panda
WED,16:00,16:50,CSE4007,E2,THEORY,CB-112,DIP,Dr. A. Gupta
THU,08:00,08:50,MAT1011,E1,THEORY,CB-G11,Statistics,Dr. Panda
THU,09:00,09:50,CSE1005,C1,THEORY,CB-524,SWE,Dr. B.V.S Babu
THU,10:00,10:50,CSE2007,D1,THEORY,CB-527,DBMS,Dr. D. Sudheer
THU,11:00,11:50,ECE2002,A1,THEORY,CB-226,Computer Architecture,Dr. M. Saha
THU,14:00,14:50,CSE4007,E2,THEORY,CB-112,DIP,Dr. A. Gupta
THU,16:00,16:50,STS2009,A2,THEORY,CB-525,STS,Prof. Sujitha
THU,18:00,19:30,CSE4007,L47+L48,LAB,CB-102,DIP,Dr. S. Mothe
FRI,08:00,08:50,CSE1005,C1,THEORY,CB-524,SWE,Dr. B.V.S Babu
FRI,10:00,10:50,ECE2002,A1,THEORY,CB-226,Computer Architecture,Dr. M. Saha
FRI,14:00,15:40,CSE2007,L49+L50,LAB,CB-303,DBMS,Dr. P. Lambu
FRI,16:00,16:50,STS2009,A2,THEORY,CB-525,STS,Prof. Sujitha
SAT,09:00,09:50,MAT1011,E1,THEORY,CB-G11,Statistics,Dr. Panda
SAT,10:00,10:50,CSE1005,C1,THEORY,CB-524,SWE,Dr. B.V.S Babu
SAT,12:00,12:50,ECE2002,A1,THEORY,CB-226,Computer Architecture,Dr. M. Saha
SAT,15:00,15:50,CSE4007,E2,THEORY,CB-112,DIP,Dr. A. Gupta